2015-09-14 13:18:32,082, DEBUG, UP VALUE-Tobj:--> object temperature value: 29.890000000000043jump up value: 29.890000000000043temp limit value: 0.29890000000000044
2015-09-14 13:19:23,845, INFO, *******INFO NEW TEST**************
2015-09-14 13:19:23,865, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:19:23,865, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:19:23,865, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:19:23,865, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:19:24,065, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 22.850000000000023jump up value: 22.850000000000023temp limit value: 0.0
2015-09-14 13:19:24,065, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.57000000000005jump up value: 30.57000000000005temp limit value: 0.3057000000000005
2015-09-14 13:19:53,612, INFO, *******INFO NEW TEST**************
2015-09-14 13:19:53,622, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:19:53,632, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:19:53,632, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:19:53,632, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:19:53,832, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.670000000000016jump up value: 23.670000000000016temp limit value: 0.0
2015-09-14 13:19:53,832, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.690000000000055jump up value: 30.690000000000055temp limit value: 0.30690000000000056
2015-09-14 13:20:52,980, INFO, *******INFO NEW TEST**************
2015-09-14 13:20:53,000, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:20:53,009, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:20:53,009, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:20:53,009, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:20:53,210, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.150000000000034jump up value: 23.150000000000034temp limit value: 0.0
