Time,Cycle, address, Tobject, Tambient, jumpvalue
02:49:38,435,90,33.65,32.03,0.12
02:49:38,436,90,33.77,31.97,-0.12
02:49:39,437,90,33.39,31.99,0.38
02:49:39,438,90,33.51,32.01,-0.12
02:49:40,439,90,33.73,31.99,-0.22
02:49:40,440,90,33.43,31.99,0.3
02:49:40,441,90,33.49,32.01,-0.06
02:49:41,442,90,33.95,31.99,-0.46
02:49:41,443,90,33.87,31.95,0.08
02:49:42,444,90,33.95,31.99,-0.08
02:49:42,445,90,33.83,31.97,0.12
02:49:42,446,90,33.85,31.97,-0.02
02:49:43,447,90,33.91,31.99,-0.06
02:49:43,448,90,33.83,31.97,0.08
02:49:44,449,90,33.93,31.99,-0.1
02:49:44,450,90,33.83,31.95,0.1
02:49:45,451,90,33.73,31.99,0.1
02:49:45,452,90,33.61,32.01,0.12
02:49:45,453,90,33.71,31.99,-0.1
02:49:46,454,90,33.77,31.97,-0.06
02:49:46,455,90,34.03,31.99,-0.26
02:49:47,456,90,33.73,31.97,0.3
02:49:47,457,90,33.71,31.97,0.02
02:49:47,458,90,33.99,31.97,-0.28
02:49:48,459,90,33.91,31.97,0.08
02:49:48,460,90,33.51,31.99,0.4
02:49:49,461,90,33.65,31.97,-0.14
02:49:49,462,90,33.39,32.01,0.26
02:49:49,463,90,33.33,31.97,0.06
02:49:50,464,90,33.25,31.97,0.08
02:49:50,465,90,33.19,31.99,0.06
02:49:51,466,90,33.21,31.99,-0.02
02:49:51,467,90,33.27,32.01,-0.06
02:49:51,468,90,33.51,31.99,-0.24
02:49:52,469,90,33.63,31.99,-0.12
02:49:52,470,90,33.43,31.97,0.2
02:49:53,471,90,33.55,31.99,-0.12
02:49:53,472,90,33.55,31.99,0.0
02:49:53,473,90,33.69,31.99,-0.14
02:49:54,474,90,33.33,31.99,0.36
02:49:54,475,90,33.29,31.95,0.04
02:49:55,476,90,33.47,31.97,-0.18
02:49:55,477,90,33.43,31.99,0.04
02:49:55,478,90,33.25,31.99,0.18
02:49:56,479,90,33.19,31.97,0.06
02:49:56,480,90,33.33,31.97,-0.14
02:49:57,481,90,34.01,31.99,-0.68
02:49:57,482,90,33.47,31.99,0.54
02:49:58,483,90,33.33,31.97,0.14
02:49:58,484,90,33.39,31.97,-0.06
02:49:58,485,90,33.55,31.99,-0.16
02:49:59,486,90,33.57,31.97,-0.02
02:49:59,487,90,33.55,31.99,0.02
02:50:00,488,90,33.55,31.97,0.0
02:50:00,489,90,33.39,32.01,0.16
02:50:00,490,90,33.35,31.97,0.04
02:50:01,491,90,33.49,31.97,-0.14
02:50:01,492,90,33.77,31.99,-0.28
02:50:02,493,90,33.63,31.97,0.14
02:50:02,494,90,33.61,31.97,0.02
02:50:02,495,90,33.73,31.95,-0.12
02:50:03,496,90,33.35,31.97,0.38
02:50:03,497,90,33.35,31.97,0.0
02:50:04,498,90,32.95,31.99,0.4
02:50:04,499,90,33.19,31.99,-0.24
02:50:04,500,90,33.07,31.97,0.12
02:50:05,501,90,32.91,31.97,0.16
02:50:05,502,90,33.11,31.97,-0.2
02:50:06,503,90,33.03,31.99,0.08
02:50:06,504,90,33.27,31.97,-0.24
02:50:06,505,90,33.43,31.97,-0.16
02:50:07,506,90,32.85,31.97,0.58
02:50:07,507,90,32.99,31.97,-0.14
02:50:08,508,90,32.95,31.99,0.04
02:50:08,509,90,32.83,31.99,0.12
02:50:08,510,90,33.29,31.97,-0.46
02:50:09,511,90,33.39,31.97,-0.1
02:50:09,512,90,33.47,31.95,-0.08
02:50:10,513,90,33.49,31.97,-0.02
02:50:10,514,90,33.19,32.01,0.3
02:50:11,515,90,33.51,31.97,-0.32
02:50:11,516,90,33.57,31.97,-0.06
02:50:11,517,90,33.27,31.99,0.3
02:50:12,518,90,33.13,31.97,0.14
02:50:12,519,90,33.03,31.97,0.1
02:50:13,520,90,33.25,31.97,-0.22
02:50:13,521,90,33.39,31.97,-0.14
02:50:13,522,90,33.27,31.97,0.12
02:50:14,523,90,33.43,31.99,-0.16
02:50:14,524,90,33.21,31.99,0.22
02:50:15,525,90,33.19,31.97,0.02
02:50:15,526,90,33.39,31.97,-0.2
02:50:15,527,90,33.47,31.99,-0.08
02:50:16,528,90,33.13,31.97,0.34
02:50:16,529,90,33.03,31.99,0.1
02:50:17,530,90,33.25,31.97,-0.22
02:50:17,531,90,33.21,31.99,0.04
02:50:17,532,90,33.25,31.97,-0.04
02:50:18,533,90,33.29,31.97,-0.04
02:50:18,534,90,33.13,31.97,0.16
02:50:19,535,90,33.05,31.97,0.08
02:50:19,536,90,33.11,31.95,-0.06
02:50:19,537,90,33.11,31.95,0.0
02:50:20,538,90,33.13,32.01,-0.02
02:50:20,539,90,33.35,31.97,-0.22
02:50:21,540,90,33.63,31.97,-0.28
02:50:21,541,90,33.55,31.97,0.08
02:50:21,542,90,33.57,32.01,-0.02
02:50:22,543,90,33.33,31.95,0.24
02:50:22,544,90,33.79,31.97,-0.46
02:50:23,545,90,33.57,31.97,0.22
02:50:23,546,90,33.47,31.99,0.1
02:50:24,547,90,33.43,31.97,0.04
02:50:24,548,90,33.63,31.97,-0.2
02:50:24,549,90,33.73,31.97,-0.1
02:50:25,550,90,33.65,31.99,0.08
02:50:25,551,90,33.57,31.97,0.08
02:50:26,552,90,33.35,31.97,0.22
02:50:26,553,90,33.17,31.97,0.18
02:50:26,554,90,33.19,31.95,-0.02
02:50:27,555,90,33.21,31.97,-0.02
02:50:27,556,90,33.21,31.97,0.0
02:50:28,557,90,33.03,31.97,0.18
02:50:28,558,90,32.97,31.93,0.06
02:50:28,559,90,33.03,31.97,-0.06
02:50:29,560,90,33.03,31.99,0.0
02:50:29,561,90,33.21,31.95,-0.18
02:50:30,562,90,33.21,31.97,0.0
02:50:30,563,90,33.19,31.97,0.02
02:50:30,564,90,33.19,31.93,0.0
02:50:31,565,90,33.05,31.97,0.14
02:50:31,566,90,33.25,31.93,-0.2
02:50:32,567,90,33.35,31.97,-0.1
02:50:32,568,90,33.19,31.97,0.16
02:50:32,569,90,33.21,31.95,-0.02
02:50:33,570,90,33.05,31.95,0.16
02:50:33,571,90,33.29,31.97,-0.24
02:50:34,572,90,33.39,31.97,-0.1
02:50:34,573,90,33.51,31.95,-0.12
02:50:34,574,90,33.33,31.97,0.18
02:50:35,575,90,33.19,31.97,0.14
02:50:35,576,90,33.17,31.97,0.02
02:50:36,577,90,33.13,31.97,0.04
02:50:36,578,90,33.19,31.97,-0.06
02:50:37,579,90,33.47,31.95,-0.28
02:50:37,580,90,33.65,31.97,-0.18
02:50:37,581,90,33.29,31.97,0.36
02:50:38,582,90,33.19,31.97,0.1
02:50:38,583,90,33.21,31.97,-0.02
02:50:39,584,90,33.39,31.97,-0.18
02:50:39,585,90,33.47,31.99,-0.08
02:50:39,586,90,33.77,31.97,-0.3
02:50:40,587,90,33.51,31.99,0.26
02:50:40,588,90,33.11,31.99,0.4
02:50:41,589,90,33.05,31.97,0.06
02:50:41,590,90,33.07,31.97,-0.02
02:50:41,591,90,33.71,31.99,-0.64
02:50:42,592,90,33.35,31.95,0.36
02:50:42,593,90,33.39,31.95,-0.04
02:50:43,594,90,33.35,31.97,0.04
02:50:43,595,90,33.39,31.95,-0.04
02:50:43,596,90,33.61,31.99,-0.22
02:50:44,597,90,33.77,31.97,-0.16
02:50:44,598,90,33.61,31.99,0.16
02:50:45,599,90,33.43,31.95,0.18
02:50:45,600,90,33.43,31.97,0.0
02:50:45,601,90,33.33,31.97,0.1
02:50:46,602,90,33.55,31.97,-0.22
02:50:46,603,90,33.33,31.97,0.22
02:50:47,604,90,33.43,31.99,-0.1
02:50:47,605,90,33.33,31.97,0.1
02:50:47,606,90,33.35,31.97,-0.02
02:50:48,607,90,33.41,31.95,-0.06
02:50:48,608,90,33.21,31.95,0.2
02:50:49,609,90,33.29,31.97,-0.08
02:50:49,610,90,33.13,31.97,0.16
02:50:50,611,90,33.21,31.95,-0.08
02:50:50,612,90,33.25,31.93,-0.04
02:50:50,613,90,33.19,31.95,0.06
02:50:51,614,90,33.25,31.95,-0.06
02:50:51,615,90,33.39,31.97,-0.14
02:50:52,616,90,33.39,31.99,0.0
02:50:52,617,90,33.43,31.95,-0.04
02:50:52,618,90,33.55,31.97,-0.12
02:50:53,619,90,33.47,31.95,0.08
02:50:53,620,90,33.33,31.95,0.14
02:50:54,621,90,33.51,31.99,-0.18
02:50:54,622,90,33.47,31.97,0.04
